question,expected_answer,naive_response,naive_score,agentic_response,agentic_score
"What is the default repository type created by the `create_repo` function on Hugging Face Hub?
",model,Not specified in the provided documents.,fail,"The goal is to locate and classify named entities in text by labeling each token with the appropriate entity type (e.g., person, location, organization) or with a non-entity label for tokens that are not part of any entity.",pass
"What is the command to upload an ESPnet model to a Hugging Face repository?
",./run.sh --stage 15 --skip_upload_hf false --hf_repo username/model_repo,./run.sh --stage 15 --skip_upload_hf false --hf_repo username/model_repo,pass,IDEFICS.,pass
"What is the name of the open-source library created by Hugging Face to simplify Transformer acceleration?
",Optimum,Optimum,pass,Image Classification.,pass
"What is the maximum size of a model checkpoint before it is automatically sharded in Transformers version 4.18.0?
",10GB,10 GB.,pass,A Fourier transform (unparameterized) that returns only the real parts of the transform.,pass
"What is the command to upload a spaCy pipeline to the Hugging Face Hub?
",python -m spacy huggingface-hub push en_ner_fashion-0.0.0-py3-none-any.whl,"The documents say there is a single command to upload a spaCy pipeline, but they do not specify the exact command.",fail,"- Tokenizers are the first preprocessing step in the NLP pipeline.
- Their main purpose is to convert raw text into numerical inputs that the model can process.
- They split text into tokens, map tokens to IDs in the model’s vocabulary, and may apply normalization (e.g., lowercasing), subword segmentation, and insertion of special tokens.
- They also handle padding/truncation and produce inputs (like input IDs and attention masks) needed for model inference.",pass
"What command is used to install the requirements for a research project using 🤗 Transformers?
",pip install -r requirements.txt,pip install -r requirements.txt,pass,"- Load a dataset from the Hugging Face Hub.
- Preprocess the data with Dataset.map().
- Load and compute metrics.",pass
"What file should be added to a model repository to install custom Python dependencies for Inference Endpoints?
",requirements.txt,requirements.txt,pass,"RAG models combine a retrieval component (dense retriever, e.g., DPR) with a generation component (a seq2seq model). They retrieve relevant documents, feed them to the generator (often by prepending to the input), and generate outputs while marginalizing over the retrieved documents. They are typically fine-tuned jointly.",pass
"What architectural feature does SqueezeBERT use instead of fully-connected layers for the Q, K, V, and FFN layers?
",Grouped convolutions,Grouped convolutions.,pass,"Six splits — train, validation, and test for each of the two configurations: ParaphraseRC and SelfRC.",pass
"What is the pretraining objective of the Wav2Vec2 context network?
",The pretraining objective of the Wav2Vec2 context network is a contrastive task where the model has to predict the true quantized speech representation of the masked prediction from a set of false ones.,A contrastive objective: the model must identify the true quantized speech representation of the masked prediction from a set of false options.,pass,It serves as a health check to ensure the Datasets server application is running.,pass
"What is the default setting for the `allow_flagging` parameter in Gradio's `Interface`?
","""manual""",Not specified in the provided documents.,fail,"Gradio lets you:

- Build interactive ML demos quickly using the Interface class.
- Create chat UIs with gr.ChatInterface for chatbots.
- Run demos locally but share them publicly via a URL so anyone can try them in their browser.",fail
"What method is used to load a checkpoint for a task using `AutoPipeline`?
",from_pretrained(),"Use the from_pretrained method of the appropriate pipeline class (e.g., StableDiffusionPipeline.from_pretrained or TFAutoModelForSequenceClassification.from_pretrained).",pass,"- To provide simple, educational training examples showing how to use Diffusers for training (not to create state-of-the-art diffusion models).
- Each example should have all code in a single Python file and be runnable from the command line with python <your-example>.py --args.
- They aim to reproduce known training schemes with minimal custom logic and serve as good educational materials.",fail
"How many images are needed to teach new concepts to Stable Diffusion using Textual Inversion?
",3-5 images,3-5 images.,pass,"O(n) time and O(n) memory (linear in the sequence length; for a fixed number of Nyström landmarks m, it’s effectively O(n) with respect to n).",pass
"What is the recommended multiple of batch size for fp16 data type on an A100 GPU?
",,A multiple of 64.,fail,"Could you clarify what you mean by ""ase""? I searched Hugging Face docs and found unrelated results (e.g., Gradio json_component, tokenizer examples, hub pushes). Please specify what you’re looking for (topic, acronym, model, command, etc.).",fail
"What is the default context window size for Local Attention in the LongT5 model?
",127 tokens,Total context window = local_chunk_length × (1 + local_num_chunks_before + local_num_chunks_after).,fail,"BLIP-Diffusion provides a pre-trained subject representation to enable controllable text-to-image generation and editing. Its purpose is zero-shot subject-driven generation and editing control, and it can be combined with methods like ControlNet and prompt-to-prompt; it also supports efficient fine-tuning for customized subjects (faster than previous methods).",pass
"What is the title of the paper introducing the ByT5 model?
",ByT5: Towards a token-free future with pre-trained byte-to-byte models,Not available in the provided documents.,fail,"Authorship is claimed automatically. The Hub will attempt to automatically match a paper to users based on their email. To view/verify, go to the Paper page (accessible via the arXiv tag on the repository’s Paper link).",fail
"What type of license is the HuggingFace Team's software distributed under?
","Apache License, Version 2.0",The documents do not specify the license type for HuggingFace Team's software.,fail,64-bit Linux (x86_64) using musl libc.,pass
"What do RAG models combine to generate outputs?
",Pretrained dense retrieval (DPR) and sequence-to-sequence models.,Pretrained dense retrieval (DPR) and sequence-to-sequence (Seq2Seq) models—retrieving documents and feeding them to the generator to produce outputs.,pass,"Use the spaCy CLI to push the wheel to Hub:

- Command: python -m spacy huggingface-hub push [whl_path] [--org] [--msg] [--local-repo] [--verbose]

Example:
- cd ./output/en_ner_fashion-0.0.0/dist
- python -m spacy huggingface-hub push en_ner_fashion-0.0.0-py3-none-any.whl",pass
"What is the name of the new library introduced by Hugging Face for hosting scikit-learn models?
",Skops,Not specified in the provided documents.,fail,Add a requirements.txt file to the model repository. It will list the Python dependencies to install during endpoint creation.,pass
"How many splits does the ""duorc"" dataset have?
",Six,"Three splits: train, validation, and test.",fail,"equal_height

Example: with gr.Row(equal_height=True): ... 
(also can use row.style(equal_height=True) on the row)",pass
"How do you run a Gradio Blocks app in reload mode using a Python IDE?
",Run `gradio run.py` in the terminal.,"- In your IDE’s integrated terminal, run the file with Gradio instead of Python: gradio app.py
- This starts hot reload mode; the app will auto-reload on changes and open at http://localhost:7860.",fail,"A model repository (repo_type=""model"" by default).",pass
"Where can you access the logs of your Endpoints in Hugging Face Endpoints?
","In the ""Logs"" tab of your Endpoint through the UI.","- In the UI, open the Logs tab of your Endpoint.
- Build Logs: for the image artifact builds (also when creation fails, to diagnose).
- Container Logs: available during inference, only when the Endpoint is in the Running state.",pass,"Here are the documented ways to install the Hugging Face Unity API.

Option A — General Unity project installation
- Open your Unity project
- Window -> Package Manager
- Click + and select Add Package from git URL
- Enter https://github.com/huggingface/unity-api.git
- Once installed, the Unity API wizard should pop up. If not, Window -> Hugging Face API Wizard

Option B — Unity integration sample (may require a specific Unity version)
- Unity version 2021.3.2f1
- Install Unity 2021.3.2f1 using the Unity Hub if you don’t have it
- From the Unity Hub, open the project at ./integrations/Unity/simulate-unity
- Open the Sample Scene or create a new scene with an empty GameObject with a Client.cs component attached

Note (Apple Silicon): installation of this specific version on Apple Silicon Macs has been tricky — to do so, first install Unity Hub, then download the source from https://unity3d.com/get-unity/download/archive, then install the package. It is easiest to do this from a fresh Unity install; detecting the second from-source Unity editor version is more challenging.",pass
"What library does MarkupLMFeatureExtractor use to extract data from HTML and XML files?
",Beautiful Soup,Beautiful Soup (bs4).,pass,"Apache License, Version 2.0 (Apache-2.0).",pass
"What is the purpose of the notebook ""How to use DeepSpeed to train models with billions of parameters on Habana Gaudi""?
",To show how to use DeepSpeed to pre-train/fine-tune the 1.6B-parameter GPT2-XL for causal language modeling on Habana Gaudi.,The notebook demonstrates how to use DeepSpeed to pre-train and fine-tune a 1.6B-parameter GPT-2 XL for causal language modeling on Habana Gaudi.,pass,"127 tokens on each side (default r=127), i.e., a 255-token local window.",pass
"How can you install the Hugging Face Unity API in your Unity project?
","To install the Hugging Face Unity API in your Unity project, go to `Window` -> `Package Manager`, click `+` and select `Add Package from git URL`, then enter `https://github.com/huggingface/unity-api.git`.","- Recommended: use Unity 2021.3.2f1.
- In your Unity project, go to Window > Package Manager.
- Click the + and choose Add Package from git URL.
- Enter https://github.com/huggingface/unity-api.git and install.
- After installation, the Unity API wizard should pop up; if not, go to Window > Hugging Face API Wizard.",pass,"Use Gradio’s CLI in reload mode from your IDE’s terminal.

Steps:
- Define your Blocks app in a script, e.g. with gr.Blocks() as my_demo: ...
- In the IDE, run:
  gradio run.py my_demo
  (If your demo uses a different name, replace my_demo with that name.)

This starts the dev server and reloads on code changes.",fail
"What TensorFlow API function is used to load a saved tensor file?
",safetensors.tensorflow.load_file,The documents do not specify any TensorFlow API function for loading a saved tensor file.,fail,"Natural language inference (NLI) — i.e., a model fine-tuned on MNLI for entailment/contradiction/neutral, usable for zero-shot text classification (e.g., with the hypothesis template ""This text is about {}."").",pass
"What special identifier does the WordPiece Model use for continuing subwords?
",##,The special identifier is ##.,pass,"768 (the base BERT model has a hidden size of 768, so the feature vector is 768-dimensional).",pass
"What type of test should typically accompany a bug fix in Gradio's testing strategy?
",Dynamic code test,A test that failed before the fix and passes after; typically a dynamic code test (could be a linting rule if appropriate).,pass,False,fail
"What transformation does the FNet model use to replace the self-attention layer in a BERT model?
",Fourier transform,An unparameterized Fourier transform (returning only the real part) replaces the self-attention layer.,pass,"Error: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-d9K8uTZD01Bjewf39pCGPatW on tokens per min (TPM): Limit 200000, Used 197548, Requested 4704. Please try again in 675ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",fail
"What is the purpose of the 🧨 Diffusers tutorials?
",To provide a gentle introduction to diffusion models and help understand the library fundamentals.,"To demonstrate and guide practical use of the 🧨 Diffusers library for new applications/usages (e.g., tutorials like Stable Diffusion with 🧨 Diffusers using a Colab notebook).",fail,"Error: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-5-nano in organization org-d9K8uTZD01Bjewf39pCGPatW on tokens per min (TPM): Limit 200000, Used 193515, Requested 7258. Please try again in 231ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",fail
"What is the time and memory complexity of the Nyströmformer's approximation of self-attention?
",O(n),"- Time complexity: O(n m) (linear in sequence length n, with m Nyström landmarks; plus O(m^3) for the pseudo-inverse A^+).
- Memory complexity: O(n m) (to store the intermediate F̃ and B̃, plus O(m^2) for Ã).",fail,"tf.io.parse_tensor (usually after reading the file with tf.io.read_file).

Example:
tensor = tf.io.parse_tensor(tf.io.read_file(""path/to/tensor.bin""), out_type=tf.float32)",fail
"How can you force mixed precision training when initializing the Accelerator in 🤗 Accelerate?
",By passing `fp16=True` to the Accelerator init.,"Initialize the Accelerator with the mixed_precision option, e.g.:

- accelerator = Accelerator(mixed_precision='fp16')  # for FP16
- accelerator = Accelerator(mixed_precision='bf16')  # for BF16

(Also possible: use the --fp16 flag when launching scripts.)",fail,distilbert-base-uncased-finetuned-sst-2-english,pass
